product_id,size,listing_price,title
2394,"9, 7",17999,Sonali Gupta Floral Print Lehenga
2575,"4, 6, 8",4129,Mango Fit and Flare Dress
2430,"6, 8",3059,Asos Color Block Blazer
2424,6,3509,Dorothy Perkins Pastel Pink Jumpsuit
2429,"4, 6, 8",3689,Mango Grey Jacket
2425,4,5309,Guess Black Jumpsuit
2426,6,4229,French Connection Lace Detail Jumpsuit
2435,"2, 4, 6, 8",7199,Jarlo Petite Gown
2444,"4, 6",5399,Chi Chi London Prom Dress
2447,"2, 4",3149,Mango Stud Dress
2441,8,3689,Van Heusen Multi Color Dress
2432,4,3049,Next Navy Striped Jacket
2445,8,3149,Dorothy Perkins Pleated Dress
2431,"4, 6",3149,French Connection Jacket
2428,"4, 6, 8",7379,Mango Suede Waterfall Jacket
2436,4,3599,Club L Cocktail Gown
2433,2,6299,Zabel Sheer Gown
2437,"2, 4",5219,Asos Embellished Gown
2442,8,4319,French Connection Striped Dress
2438,8,4769,Mango White Maxi Dress
2443,"4, 6, 8",3419,Asos Jacquard Dress
2439,"6, 8",5399,Asos Satin Bardot Dress
2440,"2, 4, 6",3959,Quirk Box Dress
2446,4,3149,Club L Fit and Flare Sequin Dress
2423,4,3959,Asos Pleated Skirt
2434,"4, 6, 8",4769,Mango Color Block Dress
2427,10,2879,River Island Color Block Jumpsuit
2405,4,5309,Van Heusen Dress
2395,"6, 8",3999,Surendri Sunflower Print Maxi
2409,"4, 8",4679,French Connection Net Dress
2411,4,7019,Forever Unique Assymetrical Dress
2406,"4, 6, 9, 11",3959,Lipsy Londong Knee Length Dress
2412,4,3869,Asos Marble Print Dress
2414,6,3419,Asos BodyCon Dress
2400,"7, 9",16999,Surendri Lehenga and Croptop Set
2399,5,17999,Shehla Khan Blue Lehenga Set
2413,"3, 4, 6, 8, 10",4859,Asos Midi Length Dress
2418,6,3419,Asos Jacquard Skirt
2416,8,3149,Cerise UK Geometric Print Skirt
2403,9,7799,Zari Gota Patti Work Saree
2401,9,5999,Zari Skirt Style Kurta Set
2410,"4, 6, 8",4679,French Connection Leather Gaze Dress
2398,"10, 7",11999,Aharin Waistcoat Style Lehenga Set
2402,"5, 9",7999,Surendri Pre-pleated Sunflower Saree
2417,"6, 8",2880,Zabel Khaki Skirt
2407,4,4049,Guess Cutout Dress
2404,7,9499,Zari Embroidered Saree
2408,4,4229,Guess Halter Neck Dress
2396,"7, 4",12999,Sonali Gupta Dabka Embroidered Cape With Sharara
2397,"7, 10",9999,Aharin Navy Wasitecoat Style Lehenga Set
2415,"3, 6, 8",3149,Asos Colorblock Maxi
2393,7,8499,Zari Bhandini Anarkali Set