product_id,discount,listing_price
4765,15,95000
4278,15,49500
4279,15,150000
4425,15,39500
4424,15,13999
4426,15,40000
4280,15,100000
3804,15,65000
3592,15,18900
3589,15,79800
3557,15,15999
3559,15,14999
3560,15,22000
3562,15,30000
3563,15,11999
3471,15,14999
3340,15,72000
3329,15,66667
3330,15,20900
3332,15,18000
3334,15,24000
3335,15,9500
2924,15,13000
2787,15,6667
2968,15,11375
2970,15,11400
1857,15,14600
3626,15,6120
3630,15,16800
3629,15,7600
3619,15,18350
3628,15,13000
3614,15,7165
3623,15,5750
3632,15,5800
3618,15,18700
3622,15,5350
3624,15,6120
3625,15,8600
3631,15,16000
4766,15,5360.94
4767,15,12146.94
4769,15,9025.38
4771,15,6786
4773,15,14250.6
4772,15,13979.16
4777,15,10179
4776,15,13979.16
4775,15,7939.62
4778,15,5496.66
4781,15,22325.94
4782,15,14182.74
4780,15,17847.18